FundingOrgName,LeadROName,ProjectReference,ProjectCategory,PISurname,PIFirstName,PIOtherNames,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,FundingOrgId,LeadROId,PIId,ProjectId,GTRProjectUrl
STFC,University of the West of Scotland,ST/H009035/1,Research Grant,Andreyev,Andrei,,Fission and fusion in the complete fusion reactions leading to the neutron-deficient 180Hg isotope,12/01/2010,11/04/2010,7115,,D7F4F462-0518-4784-908A-D12633C139B3,6786BBB0-D64D-4D47-B725-7AD417D4ED4F,7B0D2562-9E08-42FD-BE50-CBB3B2A496D1,C37E945F-1C69-4C5A-A3EB-BE8FDA112BED,http://gtr.rcuk.ac.uk:80/project/C37E945F-1C69-4C5A-A3EB-BE8FDA112BED
STFC,University of Edinburgh,ST/I006161/1,Research Grant,Murphy,Alexander,,ZEPLIN-III SSR EXTENSION,01/12/2010,31/03/2011,34612,,D7F4F462-0518-4784-908A-D12633C139B3,F0F2AC58-F3D5-4F25-8E51-6AF679C5EBFA,BAD19D7E-1019-439C-8F23-FE24503D5B27,159E5A01-DBD2-4827-A8F5-C42017AD1D71,http://gtr.rcuk.ac.uk:80/project/159E5A01-DBD2-4827-A8F5-C42017AD1D71
STFC,University College London,ST/L005492/1,Research Grant,Green,Lucie,,Writer in Residence at the Mullard Space Science Laboratory,29/01/2014,28/01/2015,9628,,D7F4F462-0518-4784-908A-D12633C139B3,3A5E126D-C175-4730-9B7B-E6D8CF447F83,5E8B20D3-9281-4564-8EF8-883C988164D8,C5DCC48B-B151-422B-B9F6-B4B7860FB5C5,http://gtr.rcuk.ac.uk:80/project/C5DCC48B-B151-422B-B9F6-B4B7860FB5C5
STFC,Imperial College London,ST/G008566/1,Research Grant,Sumner,Timothy,John,Subsystem Development for the LISA Formulation and Definition Phases,25/07/2008,24/04/2011,718939,,D7F4F462-0518-4784-908A-D12633C139B3,46387D84-F71E-4B7D-8C7D-9C288F113510,6D47084A-2C63-49F8-8C58-7A756F72D925,C5F144C8-E82D-4BF5-B8EB-C9F74B957841,http://gtr.rcuk.ac.uk:80/project/C5F144C8-E82D-4BF5-B8EB-C9F74B957841
STFC,The University of Manchester,ST/L002132/1,Research Grant,Brown,Anthony,,Production design subcontract for the SKA mid-frequency ORA array for manufacture - phase 1,26/03/2013,25/05/2013,91040,,D7F4F462-0518-4784-908A-D12633C139B3,E5AFE7E4-FF5D-4FF1-B50B-E04A6DF7D791,B797E7A6-12AE-46FB-8917-6D82AA6AFD75,8B9BA8E8-EE6E-407C-8C93-B0F05F6E3818,http://gtr.rcuk.ac.uk:80/project/8B9BA8E8-EE6E-407C-8C93-B0F05F6E3818
STFC,University of Sussex,ST/J002291/1,Research Grant,Loveday,Jonathan,,GAMA Observing 2011,01/09/2011,31/01/2012,2505,,D7F4F462-0518-4784-908A-D12633C139B3,A8967420-49D3-4509-9912-25FB3EC75B74,9F9F4FC2-6DAA-4C46-B311-F94F234825BC,61658A9A-1F45-4031-A745-B49FBA5F100E,http://gtr.rcuk.ac.uk:80/project/61658A9A-1F45-4031-A745-B49FBA5F100E
STFC,The University of Manchester,ST/H003207/1,Research Grant,Soldner-Rembold,Stefan,,Research Associate on SuperNEMO (July-September 2009),07/07/2009,06/10/2009,17624,,D7F4F462-0518-4784-908A-D12633C139B3,E5AFE7E4-FF5D-4FF1-B50B-E04A6DF7D791,A0B95F21-37DF-4B88-84CD-091248E3E24D,28FC1B72-BF69-4AEA-AB5C-BCCF614BF234,http://gtr.rcuk.ac.uk:80/project/28FC1B72-BF69-4AEA-AB5C-BCCF614BF234
STFC,University of Leicester,ST/J000841/1,Research Grant,Osborne,Julian,Paul,Swift Post-Launch Support at University of Leicester,01/04/2011,31/03/2014,1200450,,D7F4F462-0518-4784-908A-D12633C139B3,C842A34F-18F7-454D-A259-FED802368496,E369CD7F-EBBB-46B8-95F6-34FAC26623F7,AB9509A3-1B81-4D60-A8F1-BB38218AA0C4,http://gtr.rcuk.ac.uk:80/project/AB9509A3-1B81-4D60-A8F1-BB38218AA0C4
STFC,University College London,ST/H004084/1,Research Grant,Smith,A,,Plato Study Phase,01/07/2009,31/03/2010,4172,,D7F4F462-0518-4784-908A-D12633C139B3,3A5E126D-C175-4730-9B7B-E6D8CF447F83,9D4629B4-BC95-486B-8BA2-125793E99E63,E268DBF6-1D82-4D26-B653-CDDB60343DB2,http://gtr.rcuk.ac.uk:80/project/E268DBF6-1D82-4D26-B653-CDDB60343DB2
STFC,University of Bath,PP/E002218/1,Research Grant,Mitchell,Nicholas John,,Dynamics &amp; Coupling of the Mesosphere &amp; Lower Thermosphere - Studies with Meteor Radar &amp; EISCAT,01/10/2007,30/09/2010,409066,,D7F4F462-0518-4784-908A-D12633C139B3,EAAD4D43-BD15-432B-9385-2DBD0C65958D,004B8D54-FC5D-46F5-974A-77022376EBAB,C881DC24-FEA4-4722-B00F-B865FAECEF35,http://gtr.rcuk.ac.uk:80/project/C881DC24-FEA4-4722-B00F-B865FAECEF35
STFC,University of Strathclyde,ST/M006549/1,Research Grant,Jaroszynski,Dino Anthony,,AWAKE-UK 2014-2015 bridging request,01/10/2014,30/09/2015,4838,,D7F4F462-0518-4784-908A-D12633C139B3,5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850,0F1B4F35-96A5-493E-AE7F-7C13FD548DD9,A69D49BE-E981-4CFA-BC7D-C9EEDE6FF0BE,http://gtr.rcuk.ac.uk:80/project/A69D49BE-E981-4CFA-BC7D-C9EEDE6FF0BE
STFC,University of Nottingham,ST/L000393/1,Research Grant,Copeland,Edmund,,The Cosmology of the Early and Late Universe,01/10/2014,30/09/2017,663603,,D7F4F462-0518-4784-908A-D12633C139B3,936D002F-A8D1-4A93-AE5D-825ED0903D8D,4FAA58A6-1EB4-484D-A595-E12EA977FBAB,471D7FEE-2A4E-4288-9F5E-CF686047B9AB,http://gtr.rcuk.ac.uk:80/project/471D7FEE-2A4E-4288-9F5E-CF686047B9AB
STFC,Durham University,PP/F001282/1,Research Grant,Chadwick,Paula,,PIPSS Defence &amp; Security Themed Call: Durham University/AGI Transmissometer Project,01/10/2007,31/03/2010,161152,,D7F4F462-0518-4784-908A-D12633C139B3,46B41008-0EB4-4E28-BBFB-E98366999EC5,BB82E83C-A61A-4D00-BA03-3785464E9259,4728F2A5-5979-4BA6-A3D2-CFB172485F29,http://gtr.rcuk.ac.uk:80/project/4728F2A5-5979-4BA6-A3D2-CFB172485F29
STFC,University College London,ST/M001725/1,Research Grant,Kitching,Thomas David,,Euclid Science Support,01/12/2014,30/11/2016,170251,,D7F4F462-0518-4784-908A-D12633C139B3,3A5E126D-C175-4730-9B7B-E6D8CF447F83,8FE3F705-E63B-436B-A479-CF0897741902,FC30BFD5-E473-42EF-881F-C7EEB8BF5770,http://gtr.rcuk.ac.uk:80/project/FC30BFD5-E473-42EF-881F-C7EEB8BF5770
